,id,airport_ref,airport_ident,type,description,frequency_mhz
3033,58266,2435,EGMC,TWR,TWR,127.725
3034,58473,2436,EGMD,APP,Lydd Approach,120.7
3035,299121,2436,EGMD,ATIS,,129.225
3036,58474,2436,EGMD,TWR,TWR,128.525
3037,58352,2437,EGMH,TFC,Polar Helicopters,119.925
3038,71948,29164,EGMJ,A/G,Little Gransden A/G,130.85
3039,71941,29966,EGNA,A/G,Hucknall A/G,130.8
3040,58145,2438,EGNB,A/G,AIR GND,130.55
3041,58512,2439,EGNC,A/G,RDO,123.6
3042,58513,2439,EGNC,APP,APP,123.6
3043,58514,2439,EGNC,ATIS,ATIS,118.425
3044,58515,2439,EGNC,TWR,TWR,123.6
3045,58456,2440,EGNE,A/G,RDO,130.475
3046,71958,29165,EGNF,A/G,Netherthorpe A/G,123.275
3047,307657,29679,EGNG,A/G,Air/Ground,123.25
3048,58391,2441,EGNH,APP,APP,119.95
3049,58392,2441,EGNH,ATIS,ATIS,121.75
3050,58393,2441,EGNH,TWR,TWR,118.4
3051,316332,28479,EGNI,A/G,,132.425
3052,58538,2442,EGNJ,APP,,119.13
3053,327819,2442,EGNJ,APP/RAD,,129.255
3054,58539,2442,EGNJ,ATIS,,124.13
3055,58540,2442,EGNJ,TWR,8.33 conversion planned oct. 2018,124.905
3056,58455,2443,EGNL,AFIS,INFO,123.2
3057,58168,2444,EGNM,APP,APP,123.38
3058,327818,2444,EGNM,APP,,134.58
3059,58169,2444,EGNM,ATIS,ATIS,118.025
3060,327817,2444,EGNM,DEL,,121.805
3061,308370,2444,EGNM,ILS Rw 32/14,,110.9
3062,58170,2444,EGNM,TWR,TWR,120.305
3063,58532,2445,EGNO,APP,APP,129.525
3064,58533,2445,EGNO,ATIS,ATIS,121.725
3065,58534,2445,EGNO,RDR,RDR,129.525
3066,58535,2445,EGNO,TWR,TWR,130.8
3067,58162,2446,EGNR,APP,listening squawk 4607,120.055
3068,327821,2446,EGNR,APP/RAD,,130.015
3069,327820,2446,EGNR,ATIS,,125.43
3070,58163,2446,EGNR,TWR,TWR,124.955
3071,53786,2447,EGNS,APP,Ronaldsway Approach,135.9
3072,53787,2447,EGNS,ATIS,Ronaldsway Information,123.875
3073,316906,2447,EGNS,RAD,Ronaldsway Radar,120.85
3074,316907,2447,EGNS,RAD,Ronaldsway Radar,125.3
3075,316905,2447,EGNS,RAD,Ronaldsway Radar,135.9
3076,53788,2447,EGNS,TWR,Ronaldsway Tower,119.0
3077,58541,2448,EGNT,APP,APP,124.375
3078,58542,2448,EGNT,ATIS,ATIS,118.375
3079,58543,2448,EGNT,GND,GND,121.725
3080,308101,2448,EGNT,ILS,Runway 07/25 ILS,111.5
3081,58544,2448,EGNT,TWR,TWR,119.7
3082,71934,29166,EGNU,A/G,Full Sutton A/G,132.325
3083,58337,2449,EGNV,ATIS,ATIS,132.375
3084,58336,2449,EGNV,RADAR,Durham Radar,118.85
3085,58338,2449,EGNV,TWR,Durham Tower,119.8
3086,72001,29167,EGNW,A/G,Wickenby A/G,122.45
3087,72002,29167,EGNW,A/G,Wickenby A/G,122.45
